"","word","name"
"1","0",2.54288286735271e-05
"2","0.1",1.49645184083127e-05
"3","0.15",3.19896898374386e-05
"4","0.2",1.44923335555491e-05
"5","0.25",1.45211645974007e-05
"6","0.3",1.44726178071089e-05
"7","0.32",1.4334245946992e-05
"8","0.34",1.49816381866754e-05
"9","0.36",1.44726178071089e-05
"10","0.44",1.45209537362414e-05
"11","0.46",1.44726178071089e-05
"12","0.48",1.44726178071089e-05
"13","0.5",1.48275999009475e-05
"14","0.52",1.44726178071089e-05
"15","0.54",1.52223220129999e-05
"16","0.55",1.34165157308647e-05
"17","0.6",1.45551932929669e-05
"18","0.7",3.42900655380738e-05
"19","0.70",2.88192743306724e-05
"20","0.75",2.88192743306724e-05
"21","0.8",1.5388508441375e-05
"22","0.82",2.68330314617294e-05
"23","0.85",1.44923335555491e-05
"24","0.88",1.45551932929669e-05
"25","0.93",1.79581574930412e-05
"26","00",1.55322916343077e-05
"27","000",1.52223220129999e-05
"28","01",1.78699070764832e-05
"29","020",1.34165157308647e-05
"30","06",1.45551932929669e-05
"31","06itte",1.45209537362414e-05
"32","09",1.44726178071089e-05
"33","0au",1.45211645974007e-05
"34","0ctober7",1.78699070764832e-05
"35","0f",1.61619699130225e-05
"36","0th",1.52223220129999e-05
"37","1",0.000312822086499598
"38","1,000",3.75537446774107e-05
"39","1,014",1.5408083080384e-05
"40","1,030",1.45211645974007e-05
"41","1,100",1.66242747660133e-05
"42","1,100,000",1.5687336611953e-05
"43","1,200",1.4522531360299e-05
"44","1,274",1.35779168759929e-05
"45","1,300",1.52800061120024e-05
"46","1,300,000",1.66242747660133e-05
"47","1,300th",1.45211645974007e-05
"48","1,383",1.5408083080384e-05
"49","1,500",1.54867483656259e-05
"50","1,500,000,000,000",1.45211645974007e-05
"51","1,545",1.71016178130451e-05
"52","1,600",1.50950543703228e-05
"53","1,619",2.43430366186256e-05
"54","1,650",1.35779168759929e-05
"55","1,662",1.71016178130451e-05
"56","1,700",1.52800061120024e-05
"57","1,87",1.5408083080384e-05
"58","1.0",1.66242747660133e-05
"59","1.06",1.35779168759929e-05
"60","1.1",1.45381789451838e-05
"61","1.18",1.55488526425877e-05
"62","1.19",1.55654136508678e-05
"63","1.2",1.53244103770853e-05
"64","1.27",1.66242747660133e-05
"65","1.3",2.1377494434625e-05
"66","1.4",1.63335157319564e-05
"67","1.5",1.96778597726343e-05
"68","1.6",1.40824801201881e-05
"69","1.7",1.43866674470884e-05
"70","1.8",2.04256901837105e-05
"71","1.82",1.55654136508678e-05
"72","1.975",1.34165157308647e-05
"73","10",0.000326267321497784
"74","10,000",2.32094142831199e-05
"75","10,231.7",1.71016178130451e-05
"76","10.4",1.4334245946992e-05
"77","100",0.000132861136954936
"78","100,000",2.05780653847906e-05
"79","1000",1.29426382273763e-05
"80","10001",5.13338238565391e-05
"81","10027",1.71112746188464e-05
"82","10040",1.71112746188464e-05
"83","101",0.000112913878757494
"84","10191",1.71112746188464e-05
"85","101st",1.78699070764832e-05
"86","102",0.000112274908750616
"87","10217",3.42225492376927e-05
"88","10241",6.84450984753854e-05
"89","10243",5.13338238565391e-05
"90","10260",1.71112746188464e-05
"91","103",0.000107742457747809
"92","103,680,000",1.79581574930412e-05
"93","10327",1.71112746188464e-05
"94","104",0.000111833186210095
"95","105",0.000104953418348445
"96","106",0.000109644842126512
"97","1068",1.71112746188464e-05
"98","106j",1.79581574930412e-05
"99","107",0.000107259364935258
"100","108",0.00010971287398176
"101","109",0.00010534576585197
"102","109th",1.45211645974007e-05
"103","10th",1.4757929505504e-05
"104","11",0.000112869596156443
"105","11,000",1.66260305543697e-05
"106","11,107",1.35779168759929e-05
"107","11,657",1.71016178130451e-05
"108","11.3",1.71016178130451e-05
"109","11.6",1.45211645974007e-05
"110","110",9.75706191889415e-05
"111","110,000",1.57382047933982e-05
"112","1100",1.55322916343077e-05
"113","111",0.000114752004098752
"114","111068",5.13338238565391e-05
"115","112",0.000101847270621653
"116","113",0.000106591089897348
"117","114",0.000107302840066128
"118","114,332",1.71016178130451e-05
"119","115",0.000103507510440281
"120","116",0.000108056182216474
"121","117",0.00010516937872018
"122","118",0.000111070541471664
"123","119",0.000104584993587583
"124","11th",2.5492525263472e-05
"125","12",0.000219214562381022
"126","12,000",2.29026257653765e-05
"127","120",0.000101864088303774
"128","120,000",1.92871308881048e-05
"129","120.500",1.44923335555491e-05
"130","121",0.000110666736067545
"131","122",0.000114791659925136
"132","1220",1.66242747660133e-05
"133","1226",5.76385486613447e-05
"134","123",0.000112667063363639
"135","1237",1.79581574930412e-05
"136","124",0.000117921502579866
"137","12410",1.55654136508678e-05
"138","125",0.000107585896581313
"139","126",0.000110112764978392
"140","126,000",1.52800061120024e-05
"141","12636",1.44923335555491e-05
"142","127",0.000112542015613251
"143","128",0.000109222950627552
"144","128429",1.79581574930412e-05
"145","129",0.000112345592246282
"146","1299",1.52223220129999e-05
"147","12th",2.17332001058093e-05
"148","12ϋ",1.52223220129999e-05
"149","13",0.000112724160827977
"150","13,000",2.90275973821367e-05
"151","13,316",1.71016178130451e-05
"152","13.5",1.52223220129999e-05
"153","130",0.000118920437178169
"154","130,000",1.71112746188464e-05
"155","1300",1.66242747660133e-05
"156","1305",1.66242747660133e-05
"157","1308",1.71016178130451e-05
"158","131",0.000104641726345808
"159","1310th",2.88192743306724e-05
"160","1314",1.44726178071089e-05
"161","131st",1.52800061120024e-05
"162","132",0.000108905876225502
"163","1325",1.45551932929669e-05
"164","133",0.000113607201183228
"165","134",0.000101816494558514
